GENDER,MARRITAL_STATUS,BVN,MEANS_OF_IDENTIFICATION,EMAIL_ADDRESS,TYPE_OF_LOAN,MONTHLY_INCOME_TOTAL,LOAN_AMOUNT,OUTSTANDING_LOAN_BALANCE,COUNT_OF_CHILDREN,YEAR_OF_BIRTH,YEARS_IN_PRESENT_EMPLOYMENT,OCCUPATION_TYPE,EMPLOYMENT_TYPE,OWN_A_CAR,OWN_A_HOUSE,EDUCATIONAL_QUALIFICATION,HOUSE_TYPE,APARTMENT_TYPE,ACCOMODATION_TYPE,LIVING_REGION_CONDITION,DSTV_OR_GOtv_LASTDAY_RECHARGE,NEPA_LASTDAY_PAY,PHONE_LASTDAY_RECHARGE,TARGET
male,single,71349932551,National ID Card,yes,secured overdraft,60000,8000,0,4,2002,above ten years,Driver,permanet,yes,no,Diploma,Semi-detached,Studio,Living with Parents/Friends/Family,very bad,less than three weeks ago,a month ago,less than three weeks ago,1
female,divorced,71525042128,NIN,yes,secured overdraft,10000,90900,0,2,1998,less than one year,teacher,contract,yes,yes,Graduate,face-me i face-you,five rooms,Official Quarters,good,less than three weeks ago,less than three weeks ago,a month ago,1
male,widowed,71700151705,National Driver’s Licence,no,personal home loan,390000,653000,0,3,1972,above ten years,Driver,permanet,yes,yes,Diploma,Mansion,four rooms,Living with Parents/Friends/Family,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
female,widowed,71875261283,Int’l Passport,no,automobile loan,47000,73640,0,5,1973,less than one year,Laborer,permanet,no,yes,Secondary School,Detached,one room,Rented,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,single,72050370860,Valid INEC Voter’s Card,yes,personal home loan,100000,382670,0,1,2006,less than one year,Driver,permanet,yes,no,Primary School Leaving Certificate,face-me i face-you,four rooms,Living with Parents/Friends/Family,bad,three months ago,two months ago,a month ago,1
male,divorced,72133385122,National Driver’s Licence,no,automobile loan,78000,782345,8700,0,2000,above ten years,teacher,contract,yes,no,Secondary School,Terraced,four rooms,Rented,very bad,less than three weeks ago,a month ago,three months ago,0
female,married,71847009127,Valid INEC Voter’s Card,yes,joint mortgage,20000000,7876457,65000,0,2000,two years,Accountant,contract,no,yes,Diploma,face-me i face-you,one room,Living with Parents/Friends/Family,good,two months ago,a year ago,a month ago,0
male,widowed,71560633131,National ID Card,no,joint mortgage,500000,877700,0,0,2000,above ten years,Driver,permanet,yes,yes,Professional,Penthouse,Studio,Living with Parents/Friends/Family,bad,less than three weeks ago,a month ago,a year ago,1
male,married,71274257136,Int’l Passport,no,salary loan,30000,999976,0,4,1985,above ten years,Laborer,permanet,yes,no,Primary School Leaving Certificate,block of flats,five rooms,Official Quarters,very good,a month ago,less than three weeks ago,less than three weeks ago,1
female,married,70987881141,NIN,yes,personal home loan,50000,3737647,0,2,1964,eight years,Accountant,contract,yes,yes,Graduate,face-me i face-you,two rooms,Rented,bad,a month ago,less than three weeks ago,two months ago,1
male,married,70701505145,National ID Card,yes,joint mortgage,200000,90883,0,0,1972,less than one year,teacher,permanet,yes,yes,Post Graduate,Bungalow,five rooms,Official Quarters,good,two months ago,two months ago,less than three weeks ago,0
female,widowed,70415129150,National Driver’s Licence,yes,secured overdraft,4800000,85340,9000,2,1959,five years,Driver,contract,yes,yes,Professional,Semi-detached,one room,Rented,very bad,a month ago,a year ago,a month ago,1
female,divorced,70128753154,NIN,yes,secured overdraft,1000000,849483,8900,6,1988,nine years,teacher,permanet,no,yes,Diploma,face-me i face-you,three rooms,Rented,very good,two months ago,a month ago,less than three weeks ago,0
female,married,69842377159,NIN,yes,personal home loan,4800000,9540,0,9,1976,less than one year,Driver,permanet,no,yes,Graduate,Bungalow,one room,Rented,bad,a month ago,a month ago,a year ago,0
male,single,69556001163,National Driver’s Licence,yes,secured overdraft,1000000,655500,0,2,2004,less than one year,teacher,permanet,no,no,Secondary School,face-me i face-you,five rooms,Official Quarters,very good,less than six months,a year ago,less than six months,1
female,divorced,69269625168,NIN,yes,joint mortgage,20000,36640,67500,0,2007,five years,Accountant,contract,no,yes,Graduate,Semi-detached,Studio,Rented,very bad,less than three weeks ago,a month ago,two months ago,0
female,single,68983249172,National ID Card,no,personal home loan,7000000,89000,400,0,1963,two years,Driver,contract,no,yes,Secondary School,face-me i face-you,four rooms,Official Quarters,bad,less than six months,a month ago,less than three weeks ago,1
female,married,68696873177,Valid INEC Voter’s Card,yes,secured overdraft,100000,536000,28000,0,1999,three years,teacher,permanet,yes,yes,Post Graduate,Terraced,five rooms,Living with Parents/Friends/Family,bad,three months ago,less than three weeks ago,less than three weeks ago,0
female,married,68410497181,National Driver’s Licence,yes,secured overdraft,700000,870000,6000,0,1994,seven years,Driver,permanet,yes,no,Diploma,Detached,one room,Official Quarters,good,two months ago,less than three weeks ago,less than three weeks ago,0
male,single,68124121186,Int’l Passport,yes,joint mortgage,40000,63000,500,0,1994,two years,Accountant,contract,yes,yes,Graduate,block of flats,four rooms,Rented,bad,less than three weeks ago,less than six months,two months ago,1
female,divorced,67837745190,National Driver’s Licence,no,automobile loan,30000,263000,2000,0,1983,above ten years,Driver,permanet,yes,yes,Primary School Leaving Certificate,Penthouse,four rooms,Official Quarters,bad,two months ago,two months ago,three months ago,1
male,married,67551369195,Int’l Passport,yes,joint mortgage,71000,58000,80000,0,1979,eight years,Driver,contract,yes,yes,Professional,Mansion,two rooms,Living with Parents/Friends/Family,very good,a month ago,less than six months,two months ago,1
male,widowed,67264993199,National ID Card,yes,personal home loan,630000,64200,10000,0,1964,less than one year,Laborer,permanet,no,yes,Professional,Duplex,Studio,Living with Parents/Friends/Family,very bad,less than three weeks ago,three months ago,less than three weeks ago,0
male,married,66978617204,National Driver’s Licence,no,secured overdraft,130000,575800,8700,0,1972,seven years,Accountant,permanet,no,no,Graduate,block of flats,five rooms,Official Quarters,good,a month ago,less than three weeks ago,less than three weeks ago,1
female,widowed,66692241208,National Driver’s Licence,yes,joint mortgage,400000,585850,21000,0,1959,less than one year,Accountant,permanet,no,yes,Secondary School,block of flats,one room,Official Quarters,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
male,married,66405865213,National ID Card,yes,salary loan,19900,36300,0,4,1988,seven years,Laborer,contract,yes,yes,Diploma,face-me i face-you,five rooms,Living with Parents/Friends/Family,very bad,less than three weeks ago,less than three weeks ago,a month ago,0
female,divorced,66119489217,National Driver’s Licence,yes,personal home loan,310000,777000,0,3,1976,less than one year,Driver,contract,yes,yes,Graduate,Bungalow,three rooms,Living with Parents/Friends/Family,very bad,a year ago,two months ago,less than three weeks ago,0
male,widowed,65833113222,Int’l Passport,yes,secured overdraft,19000,52700,500,5,2004,above ten years,Driver,permanet,yes,yes,Secondary School,Terraced,five rooms,Rented,bad,a month ago,two months ago,less than three weeks ago,0
male,divorced,65546737226,National ID Card,yes,salary loan,67000,6877860,6000,3,2007,two years,Laborer,contract,no,yes,Post Graduate,face-me i face-you,Studio,Official Quarters,very good,a month ago,a month ago,less than six months,1
female,married,84365498275,Int’l Passport,no,joint mortgage,380000,25300,0,6,1963,above ten years,Accountant,permanet,yes,yes,Graduate,block of flats,three rooms,Living with Parents/Friends/Family,very bad,a year ago,a month ago,a month ago,0
male,married,70852488941,Int’l Passport,no,joint mortgage,76400,768,5000,3,1978,two years,Driver,contract,no,no,Secondary School,Bungalow,five rooms,Living with Parents/Friends/Family,good,a month ago,a month ago,less than three weeks ago,1
male,divorced,71195952628,National Driver’s Licence,no,secured overdraft,736000,36000,0,5,1962,above ten years,Accountant,contract,no,yes,Diploma,Semi-detached,one room,Living with Parents/Friends/Family,very good,a month ago,a month ago,a month ago,1
female,single,71539416316,National ID Card,no,personal home loan,26000,37000,45000,4,1967,three years,Driver,permanet,yes,no,Primary School Leaving Certificate,block of flats,four rooms,Rented,good,less than three weeks ago,less than six months,a month ago,0
male,widowed,71882880003,Int’l Passport,no,automobile loan,15000,38000,20000,5,1965,above ten years,Accountant,contract,no,yes,Post Graduate,Bungalow,five rooms,Living with Parents/Friends/Family,bad,less than three weeks ago,less than three weeks ago,a month ago,1
female,divorced,72226343690,National Driver’s Licence,yes,personal home loan,70000,39000,10000,7,2008,two years,Laborer,contract,no,yes,Graduate,face-me i face-you,four rooms,Living with Parents/Friends/Family,very bad,less than six months,a year ago,less than three weeks ago,1
female,single,72569807378,National ID Card,yes,secured overdraft,894000,39777,4000,7,2002,three years,Driver,permanet,no,yes,Professional,block of flats,one room,Rented,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
female,widowed,72913271065,National ID Card,yes,personal home loan,60000,4100,4000,3,1998,less than one year,Laborer,contract,no,yes,Primary School Leaving Certificate,block of flats,three rooms,owned,bad,a year ago,less than three weeks ago,a year ago,0
male,divorced,73256734752,National Driver’s Licence,yes,secured overdraft,100000,4200,50000,5,1972,five years,Accountant,contract,yes,no,Professional,Terraced,five rooms,Rented,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,single,73600198440,Valid INEC Voter’s Card,yes,salary loan,12000,4300,15000,8,1973,two years,Accountant,contract,yes,no,Diploma,face-me i face-you,one room,Rented,very good,a month ago,a month ago,a month ago,1
female,divorced,73943662127,Int’l Passport,no,personal home loan,7000000,4400,0,4,2006,four years,Driver,contract,yes,yes,Secondary School,Mansion,Studio,Living with Parents/Friends/Family,bad,a year ago,three months ago,a year ago,1
female,divorced,74287125814,NIN,no,joint mortgage,50000,4500,0,2,2000,less than one year,Driver,permanet,yes,no,Graduate,Detached,two rooms,Official Quarters,bad,a month ago,less than three weeks ago,a month ago,0
female,single,74630589501,National ID Card,no,salary loan,2000,4600,0,1,2000,three years,Laborer,contract,no,yes,Professional,Penthouse,five rooms,Rented,bad,less than three weeks ago,a month ago,less than three weeks ago,1
male,widowed,74974053189,Valid INEC Voter’s Card,yes,joint mortgage,40000,4700,0,3,2000,three years,Driver,permanet,yes,no,Graduate,Terraced,five rooms,Living with Parents/Friends/Family,good,two months ago,two months ago,two months ago,0
female,single,75317516876,NIN,yes,personal home loan,60000,4700,0,2,1985,two years,teacher,contract,yes,no,Graduate,block of flats,three rooms,Official Quarters,bad,less than three weeks ago,a month ago,less than three weeks ago,0
male,widowed,75660980563,Int’l Passport,yes,automobile loan,2000,4900,0,5,1964,less than one year,Driver,contract,yes,yes,Diploma,Semi-detached,one room,Rented,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,single,76004444251,National ID Card,no,personal home loan,4999,5100,0,3,1972,six years,Laborer,permanet,yes,yes,Secondary School,face-me i face-you,one room,Official Quarters,bad,a month ago,less than three weeks ago,a month ago,0
male,divorced,76347907938,Valid INEC Voter’s Card,yes,joint mortgage,10000,5200,7600,1,2007,three years,Driver,permanet,yes,yes,Professional,block of flats,five rooms,Living with Parents/Friends/Family,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,single,76691371625,National ID Card,no,secured overdraft,30000,5300,600,4,1963,two years,Laborer,contract,yes,yes,Primary School Leaving Certificate,Duplex,two rooms,Official Quarters,bad,less than three weeks ago,a month ago,less than three weeks ago,0
male,divorced,77034835312,NIN,no,automobile loan,40000,84677,1000000,1,1967,five years,teacher,contract,no,yes,Post Graduate,Bungalow,Studio,Official Quarters,very good,less than three weeks ago,a month ago,less than three weeks ago,0
female,widowed,77378299000,NIN,yes,joint mortgage,1000000,36400,50000,0,1994,seven years,Driver,permanet,yes,yes,Diploma,Terraced,five rooms,Living with Parents/Friends/Family,very bad,less than three weeks ago,less than six months,less than three weeks ago,1
male,single,77721762687,Valid INEC Voter’s Card,no,joint mortgage,2000000,580000,0,0,1994,two years,teacher,contract,yes,yes,Primary School Leaving Certificate,face-me i face-you,one room,Official Quarters,good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,single,78065226374,National ID Card,no,secured overdraft,180000,80000,45000,3,1983,two years,Driver,contract,yes,no,Graduate,Terraced,one room,Official Quarters,very good,less than three weeks ago,a month ago,less than three weeks ago,1
female,widowed,78408690062,National Driver’s Licence,no,personal home loan,220000,432000,78000,3,1979,eight years,Laborer,contract,yes,yes,Primary School Leaving Certificate,face-me i face-you,five rooms,Rented,bad,less than three weeks ago,a month ago,less than three weeks ago,0
male,widowed,78752153749,Int’l Passport,no,salary loan,600000,7000000,8300,3,1964,less than one year,Driver,permanet,no,yes,Primary School Leaving Certificate,face-me i face-you,four rooms,Official Quarters,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,widowed,79095617436,National ID Card,yes,joint mortgage,280000,45600,85000,3,1972,eight years,teacher,permanet,yes,yes,Post Graduate,Terraced,four rooms,Official Quarters,bad,three months ago,less than three weeks ago,three months ago,0
female,widowed,79439081123,NIN,yes,joint mortgage,300000,32000,0,0,1959,nine years,Accountant,contract,yes,no,Secondary School,Penthouse,five rooms,Official Quarters,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
male,widowed,79782544811,National Driver’s Licence,yes,automobile loan,200000,65000,54000,3,1994,less than one year,Driver,contract,no,yes,Diploma,Bungalow,Studio,Official Quarters,very good,two months ago,less than three weeks ago,two months ago,0
female,divorced,80126008498,NIN,yes,personal home loan,108000,90000,47800,4,1994,nine years,Laborer,permanet,yes,yes,Professional,Semi-detached,five rooms,Rented,bad,less than three weeks ago,a month ago,less than three weeks ago,0
female,divorced,80469472185,National ID Card,no,personal home loan,60000,63000,21000,0,1983,eight years,Accountant,contract,yes,no,Secondary School,Detached,three rooms,Official Quarters,very good,a month ago,less than six months,a month ago,1
female,divorced,80812935873,National Driver’s Licence,yes,salary loan,10000,7600,0,2,1979,five years,teacher,contract,no,yes,Professional,block of flats,four rooms,owned,very bad,a month ago,a month ago,less than three weeks ago,0
male,divorced,81156399560,National Driver’s Licence,yes,secured overdraft,390000,10000,0,0,1964,nine years,Driver,permanet,no,yes,Post Graduate,Terraced,one room,Official Quarters,very good,two months ago,less than three weeks ago,a year ago,1
female,single,81499863247,Int’l Passport,yes,secured overdraft,47000,490000,0,0,1972,two years,teacher,contract,yes,yes,Graduate,Mansion,five rooms,Official Quarters,bad,a month ago,two months ago,a month ago,1
female,single,81843326934,NIN,yes,personal home loan,100000,658000,0,0,1959,six years,Driver,contract,yes,yes,Post Graduate,Penthouse,Studio,Rented,good,a month ago,less than three weeks ago,a month ago,0
female,single,82186790622,National ID Card,yes,salary loan,78000,876000,0,0,1988,five years,teacher,permanet,no,yes,Diploma,Duplex,Studio,Official Quarters,very good,less than three weeks ago,a month ago,a year ago,1
female,widowed,82530254309,Int’l Passport,yes,secured overdraft,20000000,53000,0,2,1976,four years,Accountant,permanet,no,no,Graduate,Bungalow,three rooms,Living with Parents/Friends/Family,very bad,less than six months,three months ago,a month ago,1
male,widowed,82873717996,NIN,no,salary loan,500000,100000,0,2,2004,less than one year,Driver,permanet,yes,no,Secondary School,Terraced,two rooms,Rented,very bad,a year ago,a month ago,a month ago,0
female,single,83217181684,Int’l Passport,yes,secured overdraft,30000,500000,0,0,2007,seven years,teacher,contract,yes,no,Primary School Leaving Certificate,face-me i face-you,four rooms,Official Quarters,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
male,widowed,83560645371,Int’l Passport,yes,salary loan,50000,430000,0,0,1963,four years,Driver,contract,yes,no,Primary School Leaving Certificate,Penthouse,one room,Living with Parents/Friends/Family,good,less than three weeks ago,two months ago,less than three weeks ago,1
male,single,83904109058,Valid INEC Voter’s Card,yes,personal home loan,4800000,30000000,0,3,1978,six years,Accountant,permanet,yes,no,Secondary School,face-me i face-you,five rooms,Official Quarters,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,widowed,84247572746,National Driver’s Licence,yes,personal home loan,1000000,4000,0,0,1962,less than one year,Driver,contract,yes,yes,Graduate,face-me i face-you,three rooms,Living with Parents/Friends/Family,good,less than three weeks ago,less than three weeks ago,two months ago,1
female,single,84591036433,National Driver’s Licence,no,personal home loan,20000,29992000,0,3,1967,five years,Driver,contract,yes,yes,Graduate,Bungalow,Studio,owned,very good,less than three weeks ago,a month ago,less than three weeks ago,0
male,widowed,84934500120,NIN,yes,secured overdraft,7000000,59988000,0,3,1991,three years,Laborer,contract,no,yes,Diploma,Detached,five rooms,Living with Parents/Friends/Family,good,a month ago,a month ago,a month ago,1
female,divorced,85277963807,Int’l Passport,yes,salary loan,100000,48000,46000,3,1967,two years,Accountant,permanet,yes,yes,Secondary School,face-me i face-you,one room,Official Quarters,very good,less than three weeks ago,less than three weeks ago,three months ago,0
male,divorced,85621427495,Valid INEC Voter’s Card,no,joint mortgage,700000,2000,57000,3,2000,eight years,Accountant,contract,yes,yes,Primary School Leaving Certificate,block of flats,five rooms,Official Quarters,bad,two months ago,less than three weeks ago,a month ago,0
male,single,85964891182,National Driver’s Licence,yes,salary loan,40000,570000,7300,3,1973,three years,Laborer,contract,no,no,Primary School Leaving Certificate,Bungalow,five rooms,Rented,good,a month ago,less than three weeks ago,a year ago,1
female,widowed,86308354869,NIN,yes,secured overdraft,30000,380000,34000,2,1965,four years,Driver,permanet,yes,no,Professional,face-me i face-you,five rooms,Official Quarters,good,a month ago,less than six months,less than three weeks ago,0
male,widowed,86651818557,National ID Card,no,joint mortgage,71000,200000,43000,4,2008,six years,Driver,permanet,yes,no,Secondary School,Bungalow,two rooms,Living with Parents/Friends/Family,good,a month ago,a month ago,less than three weeks ago,1
male,widowed,86995282244,Valid INEC Voter’s Card,no,secured overdraft,630000,21000,87000,1,2002,two years,Laborer,contract,yes,yes,Professional,face-me i face-you,Studio,Official Quarters,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
female,widowed,87338745931,NIN,yes,personal home loan,130000,13000,300,1,1998,six years,Accountant,permanet,no,yes,Graduate,Terraced,five rooms,Official Quarters,very good,less than three weeks ago,less than three weeks ago,a month ago,0
male,single,87682209618,National Driver’s Licence,yes,salary loan,400000,83000,90000,1,1972,nine years,Driver,contract,yes,yes,Diploma,Duplex,three rooms,Official Quarters,bad,less than three weeks ago,a year ago,three months ago,1
female,widowed,88025673306,Valid INEC Voter’s Card,no,salary loan,19900,70000,76500,1,1973,nine years,Accountant,contract,yes,no,Post Graduate,Mansion,Studio,Official Quarters,very good,three months ago,less than three weeks ago,less than three weeks ago,1
female,divorced,88369136993,Valid INEC Voter’s Card,no,automobile loan,310000,99000,4345,1,2006,above ten years,Driver,contract,no,yes,Graduate,face-me i face-you,four rooms,Living with Parents/Friends/Family,very bad,a month ago,a month ago,a month ago,1
female,widowed,88712600680,National ID Card,yes,personal home loan,19000,20000,0,1,2000,less than one year,Accountant,contract,yes,no,Secondary School,face-me i face-you,one room,Living with Parents/Friends/Family,good,a year ago,a year ago,two months ago,0
male,single,89056064368,National ID Card,yes,joint mortgage,67000,1000000,0,0,2000,nine years,Laborer,permanet,yes,no,Graduate,Penthouse,five rooms,Living with Parents/Friends/Family,very bad,less than three weeks ago,a month ago,a month ago,1
female,divorced,89399528055,National Driver’s Licence,yes,automobile loan,380000,73000,0,0,2000,three years,Driver,permanet,yes,yes,Graduate,Detached,Studio,Official Quarters,bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
female,single,89742991742,Valid INEC Voter’s Card,yes,joint mortgage,76400,7000000,0,0,1985,less than one year,Laborer,contract,yes,no,Primary School Leaving Certificate,Bungalow,five rooms,Rented,good,less than three weeks ago,two months ago,less than three weeks ago,0
female,widowed,90086455429,Int’l Passport,yes,joint mortgage,736000,4000,0,3,1964,less than one year,Accountant,permanet,yes,no,Secondary School,Semi-detached,five rooms,Official Quarters,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
female,widowed,90429919117,NIN,yes,joint mortgage,26000,1000,6000,2,1972,above ten years,Accountant,contract,no,no,Post Graduate,block of flats,three rooms,Official Quarters,good,a month ago,less than three weeks ago,a month ago,0
male,widowed,90773382804,National ID Card,no,personal home loan,15000,20000,8400,0,1959,above ten years,Driver,contract,yes,no,Diploma,Bungalow,one room,owned,very bad,less than six months,a month ago,a month ago,1
female,single,91116846491,Valid INEC Voter’s Card,yes,joint mortgage,70000,4000,0,3,1988,six years,Driver,contract,yes,yes,Secondary School,Penthouse,five rooms,Official Quarters,bad,less than three weeks ago,less than three weeks ago,less than six months,0
male,divorced,91460310179,NIN,yes,personal home loan,894000,94000,760,6,1976,two years,Laborer,contract,yes,yes,Primary School Leaving Certificate,Terraced,two rooms,Living with Parents/Friends/Family,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,single,91803773866,Int’l Passport,no,personal home loan,60000,38000,0,3,2004,four years,Driver,permanet,yes,yes,Primary School Leaving Certificate,face-me i face-you,four rooms,Rented,bad,two months ago,less than three weeks ago,a month ago,1
male,divorced,92147237553,National ID Card,yes,joint mortgage,100000,57000,6750,3,2007,five years,teacher,permanet,yes,yes,Professional,Terraced,Studio,Living with Parents/Friends/Family,good,less than three weeks ago,less than three weeks ago,a month ago,0
female,single,92490701240,Valid INEC Voter’s Card,yes,personal home loan,12000,570000,0,6,1963,four years,Driver,permanet,yes,no,Graduate,Mansion,one room,Official Quarters,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,widowed,92834164928,National ID Card,yes,joint mortgage,7000000,3700000,8000,8,1999,seven years,Laborer,contract,yes,yes,Post Graduate,Detached,five rooms,Living with Parents/Friends/Family,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,single,93177628615,NIN,no,automobile loan,50000,4200,9000,3,1995,two years,Driver,contract,yes,yes,Secondary School,Terraced,four rooms,Official Quarters,very good,two months ago,less than three weeks ago,less than three weeks ago,0
male,divorced,93521092302,NIN,yes,joint mortgage,2000,93000,5400,9,1993,six years,Laborer,contract,no,yes,Diploma,Duplex,four rooms,Rented,good,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
male,divorced,93864555990,Valid INEC Voter’s Card,yes,salary loan,40000,240000,9300,1,1992,above ten years,teacher,permanet,no,yes,Post Graduate,Mansion,one room,Official Quarters,very bad,less than three weeks ago,three months ago,a month ago,1
female,widowed,94208019677,NIN,no,personal home loan,60000,72000,5600,3,1999,less than one year,Driver,contract,no,yes,Secondary School,Bungalow,Studio,Living with Parents/Friends/Family,very good,two months ago,less than three weeks ago,less than six months,1
male,divorced,94551483364,National ID Card,yes,automobile loan,2000,9000,0,4,2000,above ten years,teacher,permanet,no,yes,Graduate,face-me i face-you,five rooms,Rented,good,less than three weeks ago,two months ago,a month ago,1
male,single,94894947051,National Driver’s Licence,yes,salary loan,4999,19000,0,7,1973,eight years,Driver,contract,yes,no,Graduate,Detached,two rooms,Official Quarters,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
female,widowed,95238410739,National Driver’s Licence,yes,joint mortgage,10000,47000,7800,3,1965,less than one year,Laborer,contract,yes,yes,Secondary School,block of flats,five rooms,Living with Parents/Friends/Family,very good,a month ago,a month ago,two months ago,1
male,widowed,95581874426,National ID Card,yes,secured overdraft,20000000,5000,3300,8,2008,above ten years,Driver,permanet,yes,yes,Diploma,face-me i face-you,one room,Official Quarters,good,three months ago,less than three weeks ago,less than three weeks ago,0
female,divorced,95925338113,National Driver’s Licence,yes,personal home loan,500000,42000,700,3,2002,above ten years,teacher,contract,no,yes,Primary School Leaving Certificate,Mansion,three rooms,Official Quarters,very bad,a month ago,a year ago,a year ago,0
female,widowed,96268801801,NIN,no,personal home loan,30000,79000,0,9,1998,less than one year,Accountant,contract,no,yes,Professional,Bungalow,Studio,Rented,very good,a year ago,a month ago,less than three weeks ago,1
female,single,96612265488,Valid INEC Voter’s Card,yes,personal home loan,50000,65000,0,4,1972,three years,Driver,permanet,yes,no,Graduate,face-me i face-you,five rooms,Official Quarters,good,less than three weeks ago,a month ago,less than three weeks ago,0
male,divorced,96955729175,NIN,yes,secured overdraft,200000,4320000,700,3,1973,two years,Laborer,permanet,yes,yes,Professional,Penthouse,four rooms,Living with Parents/Friends/Family,bad,two months ago,a year ago,less than three weeks ago,1
female,single,97299192863,National Driver’s Licence,yes,joint mortgage,4800000,61000,69000,2,2006,four years,Accountant,contract,no,yes,Primary School Leaving Certificate,Semi-detached,one room,owned,very good,less than three weeks ago,a month ago,a month ago,0
female,single,97642656550,NIN,yes,secured overdraft,1000000,78600,0,2,2000,six years,teacher,contract,yes,no,Secondary School,Terraced,four rooms,Rented,bad,a month ago,a month ago,three months ago,0
female,widowed,97986120237,National Driver’s Licence,yes,joint mortgage,20000,43000,0,2,2000,three years,Driver,contract,yes,yes,Graduate,face-me i face-you,four rooms,Rented,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,widowed,98329583924,NIN,yes,personal home loan,7000000,71000,0,2,2000,six years,teacher,contract,yes,yes,Post Graduate,Bungalow,one room,Rented,very bad,a year ago,less than three weeks ago,a month ago,1
male,single,98673047612,Int’l Passport,yes,automobile loan,100000,85000,0,2,1985,two years,Driver,permanet,yes,no,Secondary School,Duplex,Studio,Living with Parents/Friends/Family,good,less than six months,less than six months,two months ago,1
female,widowed,99016511299,National Driver’s Licence,yes,secured overdraft,700000,534000,0,2,1964,nine years,teacher,contract,yes,no,Graduate,Penthouse,five rooms,Living with Parents/Friends/Family,very bad,two months ago,two months ago,a month ago,0
male,single,99359974986,NIN,no,joint mortgage,40000,740000,8900,6,1972,two years,Accountant,permanet,no,yes,Secondary School,Mansion,two rooms,Rented,good,less than three weeks ago,less than six months,less than three weeks ago,1
male,widowed,99703438674,Valid INEC Voter’s Card,no,automobile loan,30000,59000,1300,6,1959,above ten years,Driver,permanet,yes,yes,Post Graduate,face-me i face-you,five rooms,Living with Parents/Friends/Family,good,less than three weeks ago,three months ago,less than three weeks ago,0
male,divorced,87650467384,National Driver’s Licence,no,personal home loan,71000,95000,54000,6,1988,seven years,teacher,permanet,yes,no,Diploma,Bungalow,one room,Official Quarters,bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
female,divorced,98765805454,NIN,no,salary loan,630000,650000,0,4,1976,above ten years,Driver,contract,yes,no,Secondary School,face-me i face-you,three rooms,Official Quarters,very good,two months ago,less than three weeks ago,a month ago,0
male,widowed,78650854245,National Driver’s Licence,yes,secured overdraft,130000,32000,4200,7,2004,seven years,Accountant,contract,no,yes,Professional,Mansion,one room,Living with Parents/Friends/Family,good,three months ago,less than three weeks ago,a month ago,0
female,divorced,86597845656,National ID Card,yes,secured overdraft,400000,88000,760000,4,2007,less than one year,Driver,permanet,yes,yes,Primary School Leaving Certificate,Terraced,five rooms,Living with Parents/Friends/Family,good,two months ago,two months ago,less than six months,1
male,single,26556556652,NIN,yes,personal home loan,19900,6600,0,4,1963,above ten years,Driver,permanet,yes,yes,Diploma,Detached,Studio,Official Quarters,very good,less than three weeks ago,two months ago,less than three weeks ago,0
male,divorced,45656565446,Valid INEC Voter’s Card,no,automobile loan,310000,41000000,0,4,1999,above ten years,Laborer,contract,yes,yes,Secondary School,block of flats,four rooms,Rented,very bad,less than three weeks ago,a month ago,a month ago,1
female,single,46556546577,National ID Card,no,personal home loan,19000,876500,700,8,1995,eight years,Accountant,permanet,yes,yes,Post Graduate,Bungalow,five rooms,Living with Parents/Friends/Family,very good,less than three weeks ago,a month ago,a month ago,1
male,widowed,48769548705,National Driver’s Licence,yes,joint mortgage,67000,8700,4500,4,1993,above ten years,Accountant,contract,no,yes,Primary School Leaving Certificate,face-me i face-you,one room,Rented,very bad,a month ago,a month ago,less than three weeks ago,0
male,single,68457546643,Valid INEC Voter’s Card,yes,joint mortgage,380000,8689,70000,5,1992,less than one year,Laborer,permanet,yes,no,Professional,Terraced,four rooms,Official Quarters,very good,less than three weeks ago,a month ago,less than three weeks ago,1
